titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Speedmax Aro 14 MH01 175/70R14 84T,314.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-speedmax-aro-14-mh01-175-70r14-84t-16004773,pneustore,,,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,,,,,,False,2025-08-25 02:47:06,{}
Pneu Itaro Aro 14 MH01 175/70R14 84T,269.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-itaro-aro-14-mh01-175-70r14-84t-16004777,pneustore,,,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,,,,,,False,2025-08-25 02:47:07,{}
Pneu Speedmax Aro 14 VT Max 175/70R14 84T,324.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-speedmax-aro-14-vt-max-175-70r14-84t-16006334,pneustore,,,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,,,,,,False,2025-08-25 02:47:12,{}
Pneu Goodyear Aro 14 Assurance 175/70R14 88T,449.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-goodyear-aro-14-assurance-175-70r14-88t-10130092,pneustore,goodyear,assurance,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,goodyear,Assurance,,,,False,2025-08-25 02:47:20,{}
Pneu Kumho Aro 14 ES31 175/70R14 84T,329.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-kumho-aro-14-es31-175-70r14-84t-16007345,pneustore,kumho,14 es31,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,kumho,14 Es31,,,,False,2025-08-25 02:47:21,{}
Pneu Continental Aro 14 UltraContact 175/70R14 84T,464.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-continental-aro-14-ultracontact-175-70r14-84t-16010581,pneustore,continental,14 ultracontact,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,continental,14 Ultracontact,,,,False,2025-08-25 02:47:24,{}
Pneu Pirelli Aro 14 Chrono 175/70R14C 88T XL,749.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-175-70r14c/produto/pneu-pirelli-aro-14-chrono-175-70r14c-88t-xl-10070071,pneustore,pirelli,14 chrono,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,pirelli,14 Chrono,,,,False,2025-08-25 02:47:25,{}
Pneu Continental Aro 14 PowerContact 2 175/70R14 84T,454.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-continental-aro-14-powercontact-2-175-70r14-84t-10120094,pneustore,continental,powercontact,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,continental,Powercontact,,,,False,2025-08-25 02:47:27,{}
Pneu Barum by Continental Aro 14 Bravuris AT 175/70R14 88T XL,409.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-barum-by-continental-aro-14-bravuris-at-175-70r14-88t-xl-16003112,pneustore,continental,14 bravuris,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,continental,14 Bravuris,,,,False,2025-08-25 02:47:47,{}
Pneu Bridgestone Aro 14 Dueler A/T Revo 2 175/70R14 88H,499.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-bridgestone-aro-14-dueler-a-t-revo-2-175-70r14-88h-10100139,pneustore,bridgestone,14 dueler,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,bridgestone,14 Dueler,,,,False,2025-08-25 02:47:53,{}
Pneu Continental Aro 14 VancoContact 2 175/70R14C 95/93T 6 Lonas,669.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-175-70r14c/produto/pneu-continental-aro-14-vancocontact-2-175-70r14c-95-93t-6-lonas-10260102,pneustore,continental,14 vancocontact,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,continental,14 Vancocontact,,,,False,2025-08-25 02:47:55,{}
Pneu Barum by Continental Aro 14 Bravuris 5HM 175/70R14 88T XL,309.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-barum-by-continental-aro-14-bravuris-5hm-175-70r14-88t-xl-10120242,pneustore,continental,14 bravuris,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,continental,14 Bravuris,,,,False,2025-08-25 02:47:56,{}
Pneu Kelly by Goodyear Aro 14 Edge Touring 2 175/70R14 88T XL,419.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-kelly-by-goodyear-aro-14-edge-touring-2-175-70r14-88t-xl-16009114,pneustore,goodyear,14 edge,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,goodyear,14 Edge,,,,False,2025-08-25 02:47:58,{}
Pneu General Tire by Continental Aro 14 Altimax One 175/70R14 88T XL,359.9,https://www.pneustore.com.br/categorias/marcas/pneus-general-tire/produto/pneu-general-tire-by-continental-aro-14-altimax%C2%A0one-175-70r14-88t-xl-16000867,pneustore,continental,14 altimax,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,continental,14 Altimax,,,,False,2025-08-25 02:47:59,{}
Pneu Speedmax Aro 14 Transfermax Van V11 175/70R14C 93/90Q 8 Lonas,354.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/aro-14/produto/pneu-speedmax-aro-14-transfermax-van-v11-175-70r14c-93-90q-8-lonas-16009168,pneustore,,,175/70R14,175-70-r14,14,pneu 175 70 r14 Speed Max Mh01,,,,,,,False,2025-08-25 02:48:00,{}
