titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Roadcruza 235/60 R18 103T Ra 1100 At,899.36,https://www.magazineluiza.com.br/pneu-roadcruza-235-60-r18-103t-ra-1100-at/p/kafhfj6ej3/au/aupa/,2025-08-24 10:25:39,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Chengshan 235/60 R18 XL 107V CSC-303,628.24,https://www.magazineluiza.com.br/pneu-aro-18-chengshan-235-60-r18-xl-107v-csc-303/p/ba0116428d/au/pine/,2025-08-24 10:25:51,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 18 235/60 R18 107V XL RU101,868.56,https://www.magazineluiza.com.br/pneu-aptany-aro-18-235-60-r18-107v-xl-ru101/p/dbhdj4dc6c/au/pnoc/,2025-08-24 10:26:01,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Continental 235/60 R18 103W FR SportContact 5 N0,1184.77,https://www.magazineluiza.com.br/pneu-aro-18-continental-235-60-r18-103w-fr-sportcontact-5-n0/p/hb9520857g/au/pine/,2025-08-24 10:26:12,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Xbri 235/60 R18 TL 107H Forza HT 2,709.11,https://www.magazineluiza.com.br/pneu-aro-18-xbri-235-60-r18-tl-107h-forza-ht-2/p/ckd6d2933a/au/aupa/,2025-08-24 10:26:22,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/60 r18 103v tl pilot sport 4 suv michelin,1537.85,https://www.magazineluiza.com.br/pneu-235-60-r18-103v-tl-pilot-sport-4-suv-michelin/p/dd7bhc4ck9/au/aupa/,2025-08-24 10:26:33,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 235/60 R18 107V XL CrossContact LX Sport,1138.31,https://www.magazineluiza.com.br/pneu-continental-235-60-r18-107v-xl-crosscontact-lx-sport/p/ccbgbdjc8j/au/aupa/,2025-08-24 10:26:44,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Bridgestone 235/60 R18 BL103W Dueler H/P Sport,1273.55,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-235-60-r18-bl103w-dueler-h-p-sport/p/fgg572b1fh/au/aupa/,2025-08-24 10:26:54,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 235/60 r18 chengshan csc303 pr4 107v,861.17,https://www.magazineluiza.com.br/pneu-aro-18-235-60-r18-chengshan-csc303-pr4-107v/p/kfhdb251a6/au/pine/,2025-08-24 10:27:05,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Continental 235/60 R18 107W FR Crosscontact UHP,1189.9,https://www.magazineluiza.com.br/pneu-aro-18-continental-235-60-r18-107w-fr-crosscontact-uhp/p/kcj4749ce6/au/aupa/,2025-08-24 10:27:15,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook Aro 18 235/60 R18 103W Ventus S1 Evo 3 K127A,1185.71,https://www.magazineluiza.com.br/pneu-hankook-aro-18-235-60-r18-103w-ventus-s1-evo-3-k127a/p/efb4b3a63k/au/aupa/,2025-08-24 10:27:28,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 235/60 R18 DS2 SUV 107V XL,1242.21,https://www.magazineluiza.com.br/pneu-delinte-aro-18-235-60-r18-ds2-suv-107v-xl/p/fjfjk74g34/au/pine/,2025-08-24 10:27:38,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 235/60 R18 103W Ventus S1 Evo2 Suv K117A,1224.37,https://www.magazineluiza.com.br/pneu-hankook-235-60-r18-103w-ventus-s1-evo2-suv-k117a/p/caec6dkch4/au/pine/,2025-08-24 10:27:49,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 235/60 R18 103H Ventus Prime 2 K115 Original Hyundai New Santa Fe,1170.79,https://www.magazineluiza.com.br/pneu-hankook-235-60-r18-103h-ventus-prime-2-k115-original-hyundai-new-santa-fe/p/ah3he41j29/au/pine/,2025-08-24 10:28:00,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 235/60 R18 103T X Fit Ht Ld01,997.51,https://www.magazineluiza.com.br/pneu-laufenn-235-60-r18-103t-x-fit-ht-ld01/p/ch9g94j4hh/au/aupa/,2025-08-24 10:28:10,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 235/60 R18 103V Dynapro Hp2 Ra33 Original Hyundai New Santa Fe,1133.59,https://www.magazineluiza.com.br/pneu-hankook-235-60-r18-103v-dynapro-hp2-ra33-original-hyundai-new-santa-fe/p/ef6795a0ke/au/pine/,2025-08-24 10:28:23,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 235 60 R18 Kinergy GT H436 TL 103H Hankook,1225.89,https://www.magazineluiza.com.br/pneu-carro-235-60-r18-kinergy-gt-h436-tl-103h-hankook/p/fgd4j4j0d4/au/aupa/,2025-08-24 10:28:33,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin 235/60 R18 103W LT Latitude Sport 3 N0 GRNX,1550.23,https://www.magazineluiza.com.br/pneu-michelin-235-60-r18-103w-lt-latitude-sport-3-n0-grnx/p/fj1860acaa/au/aupa/,2025-08-24 10:28:44,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Yeada Aro 18 235/60R18 YDA-286 107H,1245.78,https://www.magazineluiza.com.br/pneu-yeada-aro-18-235-60r18-yda-286-107h/p/fcb4g53f18/au/pine/,2025-08-24 10:28:54,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Roadcruza 235/60 R18 103T Ra 1100 At,899.36,https://www.magazineluiza.com.br/pneu-roadcruza-235-60-r18-103t-ra-1100-at/p/kafhfj6ej3/au/aupa/,2025-08-24 10:29:34,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Chengshan 235/60 R18 XL 107V CSC-303,628.24,https://www.magazineluiza.com.br/pneu-aro-18-chengshan-235-60-r18-xl-107v-csc-303/p/ba0116428d/au/pine/,2025-08-24 10:29:46,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 18 235/60 R18 107V XL RU101,868.56,https://www.magazineluiza.com.br/pneu-aptany-aro-18-235-60-r18-107v-xl-ru101/p/dbhdj4dc6c/au/pnoc/,2025-08-24 10:29:58,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Continental 235/60 R18 103W FR SportContact 5 N0,1184.77,https://www.magazineluiza.com.br/pneu-aro-18-continental-235-60-r18-103w-fr-sportcontact-5-n0/p/hb9520857g/au/pine/,2025-08-24 10:30:09,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Xbri 235/60 R18 TL 107H Forza HT 2,709.11,https://www.magazineluiza.com.br/pneu-aro-18-xbri-235-60-r18-tl-107h-forza-ht-2/p/ckd6d2933a/au/aupa/,2025-08-24 10:30:20,235/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
