titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Marshal Aro 22.5 KMA11 275/80R22.5 149/146K,2099.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/misto/produto/pneu-marshal-aro-22-5-kma11-275-80r22-5-149-146k-9020207,pneustore,,,275/80R22,275-80-r22,22,pneu 275 80 r22 Towin Wdl0,,,,,,,False,2025-08-25 04:34:43,{}
Pneu Kumho Aro 22.5 KCA03 275/80R22.5 149/146J,2299.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-275-80r22-5/produto/pneu-kumho-aro-22-5-kca03-275-80r22-5-149-146j-9020556,pneustore,kumho,22 5,275/80R22,275-80-r22,22,pneu 275 80 r22 Towin Wdl0,,kumho,22 5,,,,False,2025-08-25 04:34:44,{}
Pneu Speedmax Aro 22.5 MD5 275/80R22.5 149/146L 16 Lonas,1924.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-275-80r22-5/produto/pneu-speedmax-aro-22-5-md5-275-80r22-5-149-146l-16-lonas-16001127,pneustore,,,275/80R22,275-80-r22,22,pneu 275 80 r22 Towin Wdl0,,,,,,,False,2025-08-25 04:34:47,{}
Pneu Speedmax Aro 22.5 D2 275/80R22.5 149/146L 16 Lonas,1879.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-275-80r22-5/produto/pneu-speedmax-aro-22-5-d2-275-80r22-5-149-146l-16-lonas-16009353,pneustore,,,275/80R22,275-80-r22,22,pneu 275 80 r22 Towin Wdl0,,,,,,,False,2025-08-25 04:34:48,{}
Pneu Speedmax Aro 22.5 D1 275/80R22.5 149/146L 16 Lonas,1824.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/rodovi%C3%A1rio/produto/pneu-speedmax-aro-22-5-d1-275-80r22-5-149-146l-16-lonas-9020526,pneustore,,,275/80R22,275-80-r22,22,pneu 275 80 r22 Towin Wdl0,,,,,,,False,2025-08-25 04:34:49,{}
Pneu Speedmax Aro 22.5 S3 275/80R22.5 147/144M 16 Lonas,1689.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/rodovi%C3%A1rio/produto/pneu-speedmax-aro-22-5-s3-275-80r22-5-147-144m-16-lonas-9020524,pneustore,,,275/80R22,275-80-r22,22,pneu 275 80 r22 Towin Wdl0,,,,,,,False,2025-08-25 04:34:50,{}
Pneu Speedmax Aro 22.5 M5 275/80R22.5 149/146L 16 Lonas,1869.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/misto/produto/pneu-speedmax-aro-22-5-m5-275-80r22-5-149-146l-16-lonas-9020525,pneustore,,,275/80R22,275-80-r22,22,pneu 275 80 r22 Towin Wdl0,,,,,,,False,2025-08-25 04:34:51,{}
Pneu Kumho Aro 22.5 KRD55 275/80R22.5 149/146L 16 Lonas,2099.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-275-80r22-5/produto/pneu-kumho-aro-22-5-krd55-275-80r22-5-149-146l-16-lonas-16010020,pneustore,kumho,22 5,275/80R22,275-80-r22,22,pneu 275 80 r22 Towin Wdl0,,kumho,22 5,,,,False,2025-08-25 04:34:52,{}
Pneu Ceat Aro 22.5 Winmile R 275/80R22.5 149/146L 16 Lonas,1924.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/rodovi%C3%A1rio/produto/pneu-ceat-aro-22-5-winmile-r-275-80r22-5-149-146l-16-lonas-9020411,pneustore,,,275/80R22,275-80-r22,22,pneu 275 80 r22 Towin Wdl0,,,,,,,False,2025-08-25 04:34:53,{}
Pneu Advance Aro 22.5 GL-D1 275/80R22.5 149/146L 16 Lonas,1799.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-275-80r22-5/produto/pneu-advance-aro-22-5-gl-d1-275-80r22-5-149-146l-16-lonas-16003144,pneustore,,,275/80R22,275-80-r22,22,pneu 275 80 r22 Towin Wdl0,,,,,,,False,2025-08-25 04:34:54,{}
