titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Speedmax Prime Aro 18 Pangea All-Terrain 265/60R18 114/110S - Letras Brancas,1029.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-speedmax-prime-aro-18-pangea-all-terrain-265-60r18-114-110s---letras-brancas-16009030,pneustore,,,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,,,,,,False,2025-08-25 03:28:14,{}
Pneu Goodyear Aro 18 Wrangler Workhorse AT 265/60R18 110H,1169.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-goodyear-aro-18-wrangler-workhorse-at-265-60r18-110h-16004179,pneustore,goodyear,wrangler,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,goodyear,Wrangler,,,,False,2025-08-25 03:28:15,{}
Pneu Goodyear Aro 18 Wrangler Territory AT 265/60R18 110T,1229.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-goodyear-aro-18-wrangler-territory-at-265-60r18-110t-16004184,pneustore,goodyear,wrangler,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,goodyear,Wrangler,,,,False,2025-08-25 03:28:16,{}
Pneu Barum by Continental Aro 18 Bravuris AT 265/60R18 110H,779.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-barum-by-continental-aro-18-bravuris-at-265-60r18-110h-16003111,pneustore,continental,18 bravuris,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,continental,18 Bravuris,,,,False,2025-08-25 03:28:17,{}
Pneu Speedmax Aro 18 W01 265/60R18 110T,849.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-speedmax-aro-18-w01-265-60r18-110t-16004481,pneustore,,,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,,,,,,False,2025-08-25 03:28:20,{}
Pneu Speedmax Aro 18 Adventuremax All-Terrain 265/60R18 114H XL - Letras Brancas,874.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-speedmax-aro-18-adventuremax-all-terrain-265-60r18-114h-xl---letras-brancas-16009264,pneustore,,,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,,,,,,False,2025-08-25 03:28:23,{}
Pneu Farroad Aro 18 FRD66 265/60R18 110H,619.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-farroad-aro-18-frd66-265-60r18-110h-10040485,pneustore,,,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,,,,,,False,2025-08-25 03:28:29,{}
Pneu Farroad Aro 18 FRD86 265/60R18 110H,689.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-farroad-aro-18-frd86-265-60r18-110h-10040700,pneustore,,,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,,,,,,False,2025-08-25 03:28:30,{}
Pneu Kumho Aro 18 Solus KL21 265/60R18 110H,949.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-kumho-aro-18-solus-kl21-265-60r18-110h-10040240,pneustore,kumho,18 solus,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,kumho,18 Solus,,,,False,2025-08-25 03:28:31,{}
Pneu Pirelli Aro 18 Scorpion HT 265/60R18 110H,879.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-pirelli-aro-18-scorpion-ht-265-60r18-110h-16001208,pneustore,pirelli,scorpion,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,pirelli,Scorpion,,,,False,2025-08-25 03:28:32,{}
Pneu Michelin Aro 18 LTX Force 265/60R18 110T,1349.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-michelin-aro-18-ltx-force-265-60r18-110t-10110129,pneustore,michelin,ltx force,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,michelin,Ltx Force,,,,False,2025-08-25 03:28:34,{}
Pneu Continental Aro 18 CrossContact ATR 265/60R18 110T,1169.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-continental-aro-18-crosscontact-atr-265-60r18-110t-10120112,pneustore,continental,18 crosscontact,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,continental,18 Crosscontact,,,,False,2025-08-25 03:28:35,{}
Pneu Goodyear Aro 18 Wrangler All Terrain Adventure 265/60R18 110T - Letra Branca,1639.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-goodyear-aro-18-wrangler-all-terrain-adventure-265-60r18-110t---letra-branca-10230158,pneustore,goodyear,wrangler,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,goodyear,Wrangler,,,,False,2025-08-25 03:28:53,{}
Pneu BFGoodrich Aro 18 Trail-Terrain T/A 265/60R18 110T TL - Letras Brancas,1699.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-bfgoodrich-aro-18-trail-terrain-t-a-265-60r18-110t-tl---letras-brancas-16004053,pneustore,bfgoodrich,18 trail-terrain,265/60R18,265-60-r18,18,pneu 265 60 r18 Speedmax Pangea At,,bfgoodrich,18 Trail-Terrain,,,,False,2025-08-25 03:28:54,{}
