titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 16 Powergy 195/55R16 87V,537.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r16/produto/pneu-pirelli-aro-16-powergy-195-55r16-87v-16004518,pneustore,pirelli,16 powergy,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,pirelli,16 Powergy,,,,False,2025-09-05 23:06:36,{}
Pneu Farroad Aro 16 FRD16 195/55R16 87H,273.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r16/produto/pneu-farroad-aro-16-frd16-195-55r16-87h-16004981,pneustore,,,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,,,,,,False,2025-09-05 23:06:37,{}
Pneu Continental Aro 16 ContiPowerContact 195/55R16 87V,569.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r16/produto/pneu-continental-aro-16-contipowercontact-195-55r16-87v-10120011,pneustore,continental,powercontact,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,continental,Powercontact,,,,False,2025-09-05 23:06:38,{}
Pneu Continental Aro 16 UltraContact 195/55R16 87V,579.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r16/produto/pneu-continental-aro-16-ultracontact-195-55r16-87v-16010590,pneustore,continental,16 ultracontact,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,continental,16 Ultracontact,,,,False,2025-09-05 23:06:40,{}
Pneu Ceat Aro 16 EcoDrive 195/55R16 87H TL,420.35,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-ceat-aro-16-ecodrive-195-55r16-87h-tl-10011091,pneustore,,,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,,,,,,False,2025-09-05 23:06:50,{}
Pneu Goodyear Aro 16 Excellence 195/55R16 87V Run Flat,1011.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r16/produto/pneu-goodyear-aro-16-excellence-195-55r16-87v-run-flat--10130069,pneustore,goodyear,16 excellence,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,goodyear,16 Excellence,,,,False,2025-09-05 23:07:06,{}
Pneu Continental Aro 16 ContiEcoContact 5 195/55R16 91H XL,559.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r16/produto/pneu-continental-aro-16-contiecocontact-5-195-55r16-91h-xl-16002596,pneustore,continental,16 contiecocontact,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,continental,16 Contiecocontact,,,,False,2025-09-05 23:07:08,{}
Pneu Continental Aro 16 EcoContact 6 195/55R16 91V XL,649.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r16/produto/pneu-continental-aro-16-ecocontact-6-195-55r16-91v-xl-16010602,pneustore,continental,16 ecocontact,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,continental,16 Ecocontact,,,,False,2025-09-05 23:07:10,{}
Pneu Continental Aro 16 Contipremiumcontact 2* 195/55R16 87V Run Flat,743.01,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-continental-aro-16-contipremiumcontact-2-195-55r16-87v-run-flat-16000311,pneustore,continental,16 contipremiumcontact,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,continental,16 Contipremiumcontact,,,,False,2025-09-05 23:07:45,{}
Pneu Pirelli Aro 16 Cinturato P1 (*) 195/55R16 87V Run Flat,1075.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r16/produto/pneu-pirelli-aro-16-cinturato-p1-%28-%29-195-55r16-87v-run-flat-10140157,pneustore,pirelli,16 cinturato,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,pirelli,16 Cinturato,,,,False,2025-09-05 23:07:49,{}
Pneu Goodyear Aro 16 Eagle Sport 2 195/55R16 91V XL,601.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r16/produto/pneu-goodyear-aro-16-eagle-sport-2-195-55r16-91v-xl-16002678,pneustore,goodyear,eagle,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,goodyear,Eagle,,,,False,2025-09-05 23:07:50,{}
Pneu Goodyear Aro 16 EfficientGrip Performance EV 195/55R16 91V XL,958.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r16/produto/pneu-goodyear-aro-16-efficientgrip-performance-ev-195-55r16-91v-xl-16009338,pneustore,goodyear,efficientgrip,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,goodyear,Efficientgrip,,,,False,2025-09-05 23:07:53,{}
Pneu Pirelli Aro 16 Cinturato P1 (KA) 195/55R16 91V XL,576.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r16/produto/pneu-pirelli-aro-16-cinturato-p1-%28ka%29-195-55r16-91v-xl-16010775,pneustore,pirelli,16 cinturato,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,pirelli,16 Cinturato,,,,False,2025-09-05 23:07:56,{}
Pneu Pirelli Aro 16 Cinturato P7 Seal Inside 195/55R16 91V XL,743.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r16/produto/pneu-pirelli-aro-16-cinturato-p7-seal-inside-195-55r16-91v-xl-16003247,pneustore,pirelli,cinturato p7,195/55R16,195-55-r16,16,pneu 195 55 r16 Zmax Landgema,,pirelli,Cinturato P7,,,,False,2025-09-05 23:08:23,{}
