titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Itaro Aro 15 MH01 185/60R15 88H XL,308.08,https://www.magazineluiza.com.br/pneu-itaro-aro-15-mh01-185-60r15-88h-xl/p/jea9fk358e/au/aupa/,2025-08-24 07:47:53,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 185/60R15 Goodyear 88H,459.9,https://www.magazineluiza.com.br/pneu-aro-15-185-60r15-goodyear-88h/p/235250600/au/aupa/,2025-08-24 07:48:04,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 185/60R15 Goodyear 88H Sport 2 Direction 2,499.9,https://www.magazineluiza.com.br/pneu-aro-15-185-60r15-goodyear-88h-sport-2-direction-2/p/236569500/au/pine/,2025-08-24 07:48:14,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 15"" 185/60R15 Goodyear 88H EfficientGrip Performance",549.9,https://www.magazineluiza.com.br/pneu-aro-15-185-60r15-goodyear-88h-efficientgrip-performance/p/240114800/au/pine/,2025-08-24 07:48:26,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” Goodyear 185/60R15 88H,465.41,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-185-60r15-88h-direction-sport/p/218806400/au/aupa/,2025-08-24 07:48:37,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185 60 r15 88h enasave dunlop,465.41,https://www.magazineluiza.com.br/pneu-185-60-r15-88h-enasave-dunlop/p/hk7453ka89/au/pine/,2025-08-24 07:48:55,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/60R15 Westlake ZuperEco Z-108 84H,277.4,https://www.magazineluiza.com.br/pneu-185-60r15-westlake-zupereco-z-108-84h/p/hged4c2027/au/pine/,2025-08-24 07:49:06,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Aderenza 185/60 R15 88H XL Speedline D2,287.38,https://www.magazineluiza.com.br/pneu-aro-15-aderenza-185-60-r15-88h-xl-speedline-d2/p/ha9bk3h1f5/au/aupa/,2025-08-24 07:49:16,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 15 185/60 R15 88H Fastway A3 XL,1106.74,https://www.magazineluiza.com.br/pneu-xbri-aro-15-185-60-r15-88h-fastway-a3-xl/p/ak0ak9h64d/au/aupa/,2025-08-24 07:49:26,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 15 Comformax 185/60R15 84H,288.94,https://www.magazineluiza.com.br/pneu-itaro-aro-15-comformax-185-60r15-84h/p/ae6k15d52g/au/aupa/,2025-08-24 07:49:39,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
